id	ivs	idhm	razdep
51102	0.620	0.428	0.712
51104	0.530	0.476	0.627
51106	0.724	0.407	0.734
51108	0.644	0.401	0.758
51110	0.632	0.331	0.811
51112	0.602	0.416	0.721
51114	0.582	0.420	0.665
51116	0.704	0.311	0.773
51118	0.749	0.359	0.807
51120	0.699	0.385	0.736
51122	0.670	0.412	0.771
51124	0.647	0.393	0.674
51126	0.591	0.337	0.801
51128	0.726	0.306	0.905
51130	0.687	0.379	0.706
51132	0.668	0.356	0.926
51134	0.646	0.383	0.772
51136	0.634	0.354	0.711
51138	0.625	0.377	0.749
51140	0.608	0.419	0.695
51142	0.633	0.344	0.783
51144	0.567	0.436	0.679
51146	0.595	0.370	0.805
51148	0.623	0.322	0.742
51150	0.628	0.371	0.743
51152	0.649	0.410	0.810
51154	0.689	0.374	0.763
51156	0.680	0.336	0.784
51158	0.746	0.337	0.822
51160	0.659	0.366	0.721
51162	0.601	0.374	0.787
51164	0.751	0.281	0.916
51166	0.572	0.399	0.798
51168	0.759	0.358	0.793
51170	0.721	0.414	0.749
51172	0.593	0.386	0.737
51174	0.563	0.382	0.735
51176	0.823	0.349	0.801
51178	0.742	0.380	0.729
51180	0.613	0.426	0.712
51182	0.659	0.383	0.711
51184	0.663	0.368	0.770
51186	0.660	0.365	0.761
51188	0.587	0.412	0.674
51190	0.623	0.419	0.764
51192	0.657	0.343	0.844
51194	0.558	0.452	0.667
51196	0.635	0.356	0.887
51198	0.702	0.395	0.740
51200	0.682	0.384	0.657
51202	0.624	0.380	0.894
51204	0.735	0.391	0.760
51206	0.664	0.355	0.767
51208	0.644	0.368	0.770
51210	0.561	0.405	0.778
51212	0.639	0.362	0.892
51214	0.649	0.301	0.887
51216	0.666	0.396	0.795
51218	0.578	0.402	0.868
51220	0.560	0.482	0.628
51222	0.673	0.350	0.793
51224	0.671	0.382	0.800
51226	0.560	0.420	0.729
51228	0.539	0.494	0.691
51230	0.602	0.416	0.746
51232	0.638	0.354	0.731
51234	0.594	0.433	0.829
51236	0.643	0.423	0.729
51238	0.639	0.378	0.777
51240	0.739	0.345	0.745
51242	0.659	0.313	0.902
51244	0.592	0.434	0.855
51246	0.648	0.384	0.753
51248	0.781	0.339	0.752
51250	0.640	0.426	0.788
51252	0.672	0.356	0.821
51254	0.622	0.299	0.956
51256	0.588	0.436	0.758
51258	0.677	0.402	0.756
51260	0.694	0.319	0.995
51262	0.720	0.396	0.786
51264	0.653	0.444	0.678
51266	0.663	0.351	0.765
51268	0.616	0.395	0.732
51270	0.707	0.375	0.741
51272	0.700	0.398	0.762
51274	0.712	0.321	0.802
51276	0.590	0.406	0.733
51278	0.621	0.415	0.712
51280	0.650	0.392	0.816
51282	0.695	0.378	0.762
51284	0.496	0.440	0.630
